#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
EPIISL6334996/AY.103/2021-08-31/PICHINCHA	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0001185	2021-04-28	2021.323120	2021.280746	2021.456824
NODE_0001191	2021-06-21	2021.470688	2021.399168	2021.519167
EPIISL3088310/AY.20/2021-07-19/GUAYAS	2021-07-19	2021.546575	2021.546575	2021.546575
EPIISL3088307/AY.20/2021-07-14/GUAYAS	2021-07-14	2021.532877	2021.532877	2021.532877
NODE_0000015	2021-05-04	2021.338596	2021.284082	2021.456956
NODE_0001188	2021-08-03	2021.587347	2021.513882	2021.606849
EPIISL12876910/AY.119/2021-08-10/GUAYAS	2021-08-10	2021.606849	2021.606849	2021.606849
EPIISL6128365/AY.119/2021-08-16/GUAYAS	2021-08-16	2021.623288	2021.623288	2021.623288
NODE_0000017	2021-05-08	2021.349315	2021.287665	2021.458600
NODE_0001190	2021-07-05	2021.508081	2021.459820	2021.567635
EPIISL12877027/AY.125/2021-08-03/PICHINCHA	2021-08-03	2021.587671	2021.587671	2021.587671
EPIISL6128280/AY.125/2021-08-23/GUAYAS	2021-08-23	2021.642466	2021.642466	2021.642466
NODE_0000019	2021-05-12	2021.360092	2021.289829	2021.461324
EPIISL6129759/AY.124/2021-08-19/MANABI	2021-08-19	2021.631507	2021.631507	2021.631507
NODE_0001192	2021-06-28	2021.489017	2021.445372	2021.524108
NODE_0001198	2021-07-05	2021.508128	2021.482526	2021.549315
EPIISL4497266/AY.100/2021-07-20/MANABI	2021-07-20	2021.549315	2021.549315	2021.549315
NODE_0001199	2021-08-17	2021.627284	2021.597808	2021.628767
EPIISL6128245/AY.100/2021-08-18/MANABI	2021-08-18	2021.628767	2021.628767	2021.628767
EPIISL6128306/AY.100/2021-08-19/MANABI	2021-08-19	2021.631507	2021.631507	2021.631507
NODE_0000024	2021-07-01	2021.497120	2021.464009	2021.531180
EPIISL3088329/AY.100/2021-07-20/GUAYAS	2021-07-20	2021.549315	2021.549315	2021.549315
NODE_0000026	2021-07-12	2021.527283	2021.460676	2021.573102
EPIISL5330401/AY.100/2021-08-10/PICHINCHA	2021-08-10	2021.606849	2021.606849	2021.606849
NODE_0001194	2021-07-26	2021.565709	2021.510331	2021.623288
EPIISL6128788/AY.100/2021-08-16/LOS_RIOS	2021-08-16	2021.623288	2021.623288	2021.623288
NODE_0000031	2021-08-10	2021.606649	2021.506450	2021.635146
EPIISL6335009/AY.100/2021-09-01/MANABI	2021-09-01	2021.667123	2021.667123	2021.667123
NODE_0000029	2021-08-18	2021.627478	2021.596015	2021.661644
EPIISL6335016/AY.100/2021-08-30/LOS_RIOS	2021-08-30	2021.661644	2021.661644	2021.661644
EPIISL6335017/AY.100/2021-08-30/LOS_RIOS	2021-08-30	2021.661644	2021.661644	2021.661644
NODE_0000030	2021-04-16	2021.288931	2021.243356	2021.439183
NODE_0001161	2021-05-27	2021.400402	2021.292013	2021.485754
EPIISL3505616/B.1.617.2/2021-08-03/GALAPAGOS	2021-08-03	2021.587671	2021.587671	2021.587671
NODE_0000032	2021-06-02	2021.417673	2021.302026	2021.496908
EPIISL6128749/AY.25/2021-08-25/GUAYAS	2021-08-25	2021.647945	2021.647945	2021.647945
NODE_0001163	2021-07-19	2021.546406	2021.506845	2021.554795
EPIISL4511367/AY.25.1/2021-07-22/QUITO	2021-07-22	2021.554795	2021.554795	2021.554795
NODE_0000034	2021-07-21	2021.551788	2021.531450	2021.576712
EPIISL6335031/AY.25.1/2021-09-01/GUAYAS	2021-09-01	2021.667123	2021.667123	2021.667123
EPIISL3267870/AY.25.1/2021-07-30/GUAYAS	2021-07-30	2021.576712	2021.576712	2021.576712
NODE_0000035	2021-04-17	2021.292753	2021.251669	2021.440436
NODE_0000036	2021-04-28	2021.323235	2021.249946	2021.469242
NODE_0000037	2021-05-12	2021.360101	2021.245981	2021.471288
NODE_0001173	2021-08-16	2021.622611	2021.556229	2021.638481
EPIISL6128335/AY.3/2021-08-23/GUAYAS	2021-08-23	2021.642466	2021.642466	2021.642466
EPIISL6128351/AY.3/2021-08-25/GUAYAS	2021-08-25	2021.647945	2021.647945	2021.647945
NODE_0001168	2021-07-19	2021.546560	2021.463632	2021.587671
EPIISL12877049/AY.5.5/2021-08-03/PICHINCHA	2021-08-03	2021.587671	2021.587671	2021.587671
NODE_0001169	2021-08-02	2021.584830	2021.509497	2021.623288
EPIISL6128561/AY.5.5/2021-08-20/SANTO_DOMINGO	2021-08-20	2021.634247	2021.634247	2021.634247
EPIISL6128546/AY.5.5/2021-08-16/PICHINCHA	2021-08-16	2021.623288	2021.623288	2021.623288
NODE_0000042	2021-08-15	2021.620322	2021.580356	2021.623288
EPIISL6128486/AY.5.5/2021-08-18/PICHINCHA	2021-08-18	2021.628767	2021.628767	2021.628767
EPIISL6128573/AY.5.5/2021-08-16/PICHINCHA	2021-08-16	2021.623288	2021.623288	2021.623288
NODE_0001201	2021-06-08	2021.434236	2021.299646	2021.535726
NODE_0000045	2021-07-01	2021.496470	2021.322116	2021.542437
EPIISL6335048/AY.43/2021-08-30/AZUAY	2021-08-30	2021.661644	2021.661644	2021.661644
EPIISL3505623/AY.43/2021-08-02/PICHINCHA	2021-08-02	2021.584932	2021.584932	2021.584932
NODE_0001203	2021-06-30	2021.494501	2021.381095	2021.576585
NODE_0001204	2021-08-02	2021.584920	2021.494993	2021.634247
NODE_0001206	2021-08-22	2021.640532	2021.591333	2021.661644
EPIISL6334984/AY.43/2021-08-30/MANABI	2021-08-30	2021.661644	2021.661644	2021.661644
EPIISL6334985/AY.43/2021-08-30/MANABI	2021-08-30	2021.661644	2021.661644	2021.661644
NODE_0000050	2021-08-16	2021.622605	2021.499268	2021.634247
EPIISL6128818/AY.43/2021-08-23/MANABI	2021-08-23	2021.642466	2021.642466	2021.642466
EPIISL6128823/AY.43/2021-08-20/MANABI	2021-08-20	2021.634247	2021.634247	2021.634247
NODE_0001207	2021-08-03	2021.587473	2021.515828	2021.615068
EPIISL12876994/AY.43/2021-08-13/MANABI	2021-08-13	2021.615068	2021.615068	2021.615068
EPIISL12877000/AY.43/2021-08-13/MANABI	2021-08-13	2021.615068	2021.615068	2021.615068
EPIISL12876995/AY.43/2021-08-13/MANABI	2021-08-13	2021.615068	2021.615068	2021.615068
EPIISL12876997/AY.43/2021-08-13/MANABI	2021-08-13	2021.615068	2021.615068	2021.615068
EPIISL12876992/AY.43/2021-08-13/MANABI	2021-08-13	2021.615068	2021.615068	2021.615068
NODE_0001212	2021-08-13	2021.615068	2021.591906	2021.615068
EPIISL12876996/AY.43/2021-08-13/MANABI	2021-08-13	2021.615068	2021.615068	2021.615068
EPIISL12876998/AY.43/2021-08-13/MANABI	2021-08-13	2021.615068	2021.615068	2021.615068
NODE_0000052	2021-04-20	2021.299948	2021.254251	2021.440761
NODE_0001174	2021-06-08	2021.434240	2021.341146	2021.536074
NODE_0001175	2021-08-05	2021.593106	2021.486615	2021.627858
EPIISL6128533/AY.44/2021-08-20/GUAYAS	2021-08-20	2021.634247	2021.634247	2021.634247
EPIISL6128750/AY.44/2021-08-27/GUAYAS	2021-08-27	2021.653425	2021.653425	2021.653425
NODE_0001176	2021-07-19	2021.546395	2021.498302	2021.626027
NODE_0000056	2021-08-02	2021.584915	2021.508729	2021.628767
EPIISL6128691/AY.44/2021-08-18/PICHINCHA	2021-08-18	2021.628767	2021.628767	2021.628767
EPIISL6335043/AY.44/2021-08-31/COTOPAXI	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0000057	2021-07-20	2021.549168	2021.512977	2021.626027
EPIISL3845814/AY.44/2021-08-17/GUAYAS	2021-08-17	2021.626027	2021.626027	2021.626027
NODE_0000059	2021-07-29	2021.573816	2021.511973	2021.628105
EPIISL6128766/AY.44/2021-08-23/CHIMBORAZO	2021-08-23	2021.642466	2021.642466	2021.642466
NODE_0001179	2021-08-13	2021.614617	2021.564633	2021.631507
EPIISL6128420/AY.44/2021-08-19/PICHINCHA	2021-08-19	2021.631507	2021.631507	2021.631507
EPIISL6128795/AY.44/2021-08-19/PICHINCHA	2021-08-19	2021.631507	2021.631507	2021.631507
NODE_0001213	2021-05-07	2021.346552	2021.312554	2021.452626
NODE_0000062	2021-06-30	2021.494485	2021.410752	2021.531973
EPIISL3274088/AY.122/2021-07-15/EL_ORO	2021-07-15	2021.535616	2021.535616	2021.535616
NODE_0001216	2021-08-15	2021.620287	2021.548007	2021.643051
EPIISL6335039/AY.122/2021-09-01/EL_ORO	2021-09-01	2021.667123	2021.667123	2021.667123
EPIISL6129257/AY.122/2021-08-27/EL_ORO	2021-08-27	2021.653425	2021.653425	2021.653425
NODE_0001217	2021-05-27	2021.401331	2021.349313	2021.470734
NODE_0001218	2021-06-30	2021.494521	2021.472301	2021.494521
EPIISL2895672/AY.122/2021-06-30/GUAYAS	2021-06-30	2021.494521	2021.494521	2021.494521
EPIISL12876874/AY.122/2021-07-01/EL_ORO	2021-07-01	2021.497260	2021.497260	2021.497260
NODE_0001219	2021-06-22	2021.472603	2021.419775	2021.472603
EPIISL2895666/AY.122/2021-06-22/EL_ORO	2021-06-22	2021.472603	2021.472603	2021.472603
EPIISL3267869/AY.122/2021-07-30/GUAYAS	2021-07-30	2021.576712	2021.576712	2021.576712
NODE_0001220	2021-05-12	2021.360146	2021.322487	2021.459364
NODE_0001221	2021-08-16	2021.622611	2021.559908	2021.647945
EPIISL6128651/AY.122/2021-08-25/LOS_RIOS	2021-08-25	2021.647945	2021.647945	2021.647945
EPIISL6335019/AY.122/2021-08-30/LOS_RIOS	2021-08-30	2021.661644	2021.661644	2021.661644
NODE_0001223	2021-05-16	2021.370563	2021.323893	2021.461216
EPIISL2895665/AY.122/2021-06-24/EL_ORO	2021-06-24	2021.478082	2021.478082	2021.478082
NODE_0000070	2021-05-21	2021.384610	2021.358097	2021.463696
NODE_0000071	2021-05-27	2021.401331	2021.365030	2021.470831
EPIISL3274411/AY.122/2021-07-06/EL_ORO	2021-07-06	2021.510959	2021.510959	2021.510959
NODE_0001269	2021-06-22	2021.472603	2021.429802	2021.472603
EPIISL2895671/AY.122/2021-06-22/EL_ORO	2021-06-22	2021.472603	2021.472603	2021.472603
EPIISL6128514/AY.122/2021-08-25/EL_ORO	2021-08-25	2021.647945	2021.647945	2021.647945
NODE_0000074	2021-05-27	2021.400383	2021.371425	2021.471338
NODE_0001260	2021-06-30	2021.494411	2021.431330	2021.530465
EPIISL3274089/AY.122/2021-07-15/EL_ORO	2021-07-15	2021.535616	2021.535616	2021.535616
NODE_0001261	2021-07-16	2021.537652	2021.501224	2021.557534
EPIISL4497070/AY.122/2021-07-23/CANAR	2021-07-23	2021.557534	2021.557534	2021.557534
EPIISL6128634/AY.122/2021-08-25/GUAYAS	2021-08-25	2021.647945	2021.647945	2021.647945
NODE_0000073	2021-05-28	2021.404070	2021.383342	2021.474621
NODE_0001273	2021-06-14	2021.450600	2021.413817	2021.496535
NODE_0001274	2021-07-08	2021.515307	2021.475727	2021.516438
EPIISL3274112/AY.122/2021-07-08/EL_ORO	2021-07-08	2021.516438	2021.516438	2021.516438
EPIISL3845825/AY.122/2021-08-17/EL_ORO	2021-08-17	2021.626027	2021.626027	2021.626027
NODE_0001275	2021-07-05	2021.508061	2021.486124	2021.510959
EPIISL3274115/AY.122/2021-07-12/EL_ORO	2021-07-12	2021.527397	2021.527397	2021.527397
EPIISL3274090/AY.122/2021-07-06/EL_ORO	2021-07-06	2021.510959	2021.510959	2021.510959
NODE_0000077	2021-07-06	2021.510778	2021.492941	2021.545926
EPIISL6128536/AY.122/2021-08-10/EL_ORO	2021-08-10	2021.606849	2021.606849	2021.606849
NODE_0001278	2021-08-04	2021.590242	2021.552349	2021.590411
EPIISL12877013/AY.122/2021-08-04/MANABI	2021-08-04	2021.590411	2021.590411	2021.590411
NODE_0000082	2021-08-15	2021.620548	2021.580601	2021.620548
EPIISL12877004/AY.122/2021-08-15/MANABI	2021-08-15	2021.620548	2021.620548	2021.620548
EPIISL6128602/AY.122/2021-08-20/MANABI	2021-08-20	2021.634247	2021.634247	2021.634247
NODE_0000085	2021-06-02	2021.417656	2021.394475	2021.469575
NODE_0001224	2021-07-01	2021.497063	2021.459590	2021.549156
NODE_0000094	2021-07-12	2021.527618	2021.475144	2021.546880
EPIISL3274455/AY.122/2021-07-20/EL_ORO	2021-07-20	2021.549315	2021.549315	2021.549315
EPIISL6335018/AY.122/2021-08-31/LOS_RIOS	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0000101	2021-07-19	2021.546539	2021.499944	2021.549315
EPIISL12876878/AY.122/2021-08-05/EL_ORO	2021-08-05	2021.593151	2021.593151	2021.593151
EPIISL12876875/AY.122/2021-07-20/EL_ORO	2021-07-20	2021.549315	2021.549315	2021.549315
NODE_0000087	2021-06-05	2021.426016	2021.403260	2021.470547
NODE_0000090	2021-06-09	2021.436891	2021.413054	2021.480919
NODE_0000093	2021-06-18	2021.460683	2021.415691	2021.503186
EPIISL4497047/AY.122/2021-07-29/EL_ORO	2021-07-29	2021.573973	2021.573973	2021.573973
EPIISL3274463/AY.122/2021-07-21/MANABI	2021-07-21	2021.552055	2021.552055	2021.552055
NODE_0001248	2021-06-29	2021.491629	2021.462199	2021.491781
EPIISL2895670/AY.122/2021-06-29/EL_ORO	2021-06-29	2021.491781	2021.491781	2021.491781
NODE_0001249	2021-07-19	2021.547381	2021.512853	2021.549315
EPIISL3274595/AY.122/2021-07-20/EL_ORO	2021-07-20	2021.549315	2021.549315	2021.549315
EPIISL4497211/AY.122/2021-07-27/EL_ORO	2021-07-27	2021.568493	2021.568493	2021.568493
NODE_0000096	2021-06-08	2021.434147	2021.411230	2021.471252
EPIISL3274108/AY.122/2021-07-01/EL_ORO	2021-07-01	2021.497260	2021.497260	2021.497260
NODE_0000098	2021-06-09	2021.436885	2021.416727	2021.475342
EPIISL2895674/AY.122/2021-06-24/EL_ORO	2021-06-24	2021.478082	2021.478082	2021.478082
NODE_0000100	2021-06-14	2021.449425	2021.416830	2021.472712
NODE_0001243	2021-06-19	2021.464327	2021.435953	2021.491189
EPIISL3274454/AY.122/2021-07-05/AZUAY	2021-07-05	2021.508219	2021.508219	2021.508219
NODE_0000102	2021-07-05	2021.508016	2021.474488	2021.508219
EPIISL3274098/AY.122/2021-07-05/AZUAY	2021-07-05	2021.508219	2021.508219	2021.508219
NODE_0000103	2021-07-05	2021.508095	2021.486321	2021.575600
EPIISL12876938/AY.122/2021-08-02/GUAYAS	2021-08-02	2021.584932	2021.584932	2021.584932
NODE_0000104	2021-07-20	2021.548968	2021.483652	2021.605854
EPIISL6128357/AY.122/2021-08-26/GUAYAS	2021-08-26	2021.650685	2021.650685	2021.650685
EPIISL6128326/AY.122/2021-08-24/GUAYAS	2021-08-24	2021.645205	2021.645205	2021.645205
NODE_0000106	2021-06-15	2021.452893	2021.435316	2021.475342
NODE_0000108	2021-06-18	2021.461310	2021.442246	2021.475342
EPIISL2895673/AY.122/2021-07-01/GUAYAS	2021-07-01	2021.497260	2021.497260	2021.497260
NODE_0001272	2021-06-23	2021.475342	2021.461813	2021.475342
EPIISL2895667/AY.122/2021-06-23/EL_ORO	2021-06-23	2021.475342	2021.475342	2021.475342
EPIISL3274116/AY.122/2021-07-13/EL_ORO	2021-07-13	2021.530137	2021.530137	2021.530137
NODE_0000110	2021-06-18	2021.461610	2021.432154	2021.544024
NODE_0000111	2021-06-30	2021.494505	2021.459855	2021.544315
EPIISL4496942/AY.122/2021-07-29/EL_ORO	2021-07-29	2021.573973	2021.573973	2021.573973
NODE_0000113	2021-07-05	2021.508163	2021.475272	2021.550009
EPIISL4497124/AY.122/2021-07-25/MANABI	2021-07-25	2021.563014	2021.563014	2021.563014
NODE_0001252	2021-07-19	2021.547832	2021.521271	2021.552055
EPIISL3274515/AY.122/2021-07-21/MANABA	--	--	--	--
EPIISL3274518/AY.122/2021-07-21/MANABI	2021-07-21	2021.552055	2021.552055	2021.552055
NODE_0000118	2021-06-23	2021.475252	2021.453390	2021.556237
NODE_0000120	2021-07-01	2021.496509	2021.472220	2021.565753
EPIISL4497282/AY.122/2021-07-26/SANTO_DOMINGO	2021-07-26	2021.565753	2021.565753	2021.565753
EPIISL6128567/AY.122/2021-08-23/GUAYAS	2021-08-23	2021.642466	2021.642466	2021.642466
NODE_0000122	2021-06-29	2021.491630	2021.465079	2021.555364
EPIISL4497036/AY.122/2021-07-27/EL_ORO	2021-07-27	2021.568493	2021.568493	2021.568493
NODE_0000123	2021-07-01	2021.496298	2021.472469	2021.556488
EPIISL6128719/AY.122/2021-08-24/MANABI	2021-08-24	2021.645205	2021.645205	2021.645205
NODE_0000124	2021-07-05	2021.508153	2021.475990	2021.556184
NODE_0000128	2021-07-12	2021.527262	2021.461723	2021.567467
EPIISL6335036/AY.122/2021-08-31/EL_ORO	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0000129	2021-07-20	2021.549128	2021.465025	2021.586051
EPIISL6128726/AY.122/2021-08-23/EL_ORO	2021-08-23	2021.642466	2021.642466	2021.642466
EPIISL12876884/AY.122/2021-08-12/EL_ORO	2021-08-12	2021.612329	2021.612329	2021.612329
NODE_0001229	2021-07-10	2021.521833	2021.492184	2021.562173
NODE_0000130	2021-07-15	2021.535423	2021.510732	2021.561186
EPIISL6128456/AY.122/2021-08-24/SANTO_DOMINGO	2021-08-24	2021.645205	2021.645205	2021.645205
NODE_0000133	2021-07-19	2021.546542	2021.518319	2021.567333
EPIISL6128461/AY.122/2021-08-03/PICHINCHA	2021-08-03	2021.587671	2021.587671	2021.587671
NODE_0000136	2021-07-26	2021.565561	2021.535639	2021.593151
EPIISL6128372/AY.122/2021-08-18/SANTO_DOMINGO	2021-08-18	2021.628767	2021.628767	2021.628767
NODE_0000148	2021-07-30	2021.576639	2021.552967	2021.593151
EPIISL6128595/AY.122/2021-08-16/SANTO_DOMINGO	2021-08-16	2021.623288	2021.623288	2021.623288
NODE_0000132	2021-08-05	2021.593150	2021.570107	2021.593151
EPIISL12877136/AY.122/2021-08-05/SANTO_DOMINGO	2021-08-05	2021.593151	2021.593151	2021.593151
EPIISL12877138/AY.122/2021-08-06/SANTO_DOMINGO	2021-08-06	2021.595890	2021.595890	2021.595890
NODE_0001235	2021-07-19	2021.546537	2021.507996	2021.589335
NODE_0001239	2021-07-29	2021.573733	2021.521025	2021.609779
EPIISL6128267/AY.122/2021-08-17/MANABI	2021-08-17	2021.626027	2021.626027	2021.626027
EPIISL6128736/AY.122/2021-08-27/SANTO_DOMINGO	2021-08-27	2021.653425	2021.653425	2021.653425
NODE_0000152	2021-07-20	2021.549234	2021.514941	2021.599677
NODE_0001240	2021-08-16	2021.623120	2021.548969	2021.642691
EPIISL6335003/AY.122/2021-09-01/MANABI	2021-09-01	2021.667123	2021.667123	2021.667123
EPIISL6335027/AY.122/2021-09-01/GUAYAS	2021-09-01	2021.667123	2021.667123	2021.667123
NODE_0001236	2021-08-10	2021.606697	2021.529030	2021.634267
EPIISL6334989/AY.122/2021-08-31/SANTO_DOMINGO	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0000159	2021-08-16	2021.623259	2021.534578	2021.642934
EPIISL6334992/AY.122/2021-08-31/SANTO_DOMINGO	2021-08-31	2021.664384	2021.664384	2021.664384
EPIISL6334991/AY.122/2021-08-31/SANTO_DOMINGO	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0001280	2021-05-15	2021.369255	2021.331975	2021.465186
NODE_0000138	2021-05-20	2021.383462	2021.330411	2021.467508
EPIISL6128362/AY.122/2021-08-17/EL_ORO	2021-08-17	2021.626027	2021.626027	2021.626027
NODE_0001282	2021-06-29	2021.491679	2021.458289	2021.515735
NODE_0000141	2021-07-14	2021.532807	2021.484536	2021.565677
EPIISL6128554/AY.122/2021-08-16/EL_ORO	2021-08-16	2021.623288	2021.623288	2021.623288
NODE_0001284	2021-07-26	2021.565596	2021.509255	2021.633261
EPIISL6335034/AY.122/2021-08-30/GUAYAS	2021-08-30	2021.661644	2021.661644	2021.661644
NODE_0000144	2021-08-10	2021.606753	2021.509603	2021.632887
EPIISL6128392/AY.122/2021-08-25/GUAYAS	2021-08-25	2021.647945	2021.647945	2021.647945
EPIISL6335028/AY.122/2021-08-30/GUAYAS	2021-08-30	2021.661644	2021.661644	2021.661644
NODE_0001286	2021-07-01	2021.497026	2021.479835	2021.519105
EPIISL4496948/AY.122/2021-07-29/EL_ORO	2021-07-29	2021.573973	2021.573973	2021.573973
NODE_0000169	2021-07-12	2021.527172	2021.479689	2021.535616
EPIISL3267868/AY.122/2021-07-30/EL_ORO	2021-07-30	2021.576712	2021.576712	2021.576712
EPIISL3274117/AY.122/2021-07-15/EL_ORO	2021-07-15	2021.535616	2021.535616	2021.535616
NODE_0000147	2021-07-06	2021.510637	2021.481895	2021.522481
EPIISL4497229/AY.122/2021-07-29/EL_ORO	2021-07-29	2021.573973	2021.573973	2021.573973
EPIISL3274110/AY.122/2021-07-13/EL_ORO	2021-07-13	2021.530137	2021.530137	2021.530137
NODE_0001291	2021-07-12	2021.527560	2021.496191	2021.538356
EPIISL12876808/AY.122/2021-08-11/AZUAY	2021-08-11	2021.609589	2021.609589	2021.609589
EPIISL3274477/AY.122/2021-07-16/CANAR	2021-07-16	2021.538356	2021.538356	2021.538356
EPIISL3274551/AY.122/2021-07-16/CANAR	2021-07-16	2021.538356	2021.538356	2021.538356
NODE_0000149	2021-07-16	2021.537756	2021.493198	2021.585092
EPIISL6335033/AY.122/2021-08-30/GUAYAS	2021-08-30	2021.661644	2021.661644	2021.661644
EPIISL6335041/AY.122/2021-09-01/EL_ORO	2021-09-01	2021.667123	2021.667123	2021.667123
NODE_0001295	2021-05-17	2021.373951	2021.333880	2021.466183
NODE_0001323	2021-06-02	2021.417704	2021.371581	2021.511481
NODE_0001324	2021-07-01	2021.497126	2021.445846	2021.568869
EPIISL6335035/AY.122/2021-08-31/EL_ORO	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0001325	2021-08-12	2021.612329	2021.577859	2021.612329
EPIISL12876888/AY.122/2021-08-12/EL_ORO	2021-08-12	2021.612329	2021.612329	2021.612329
EPIISL12876889/AY.122/2021-08-12/EL_ORO	2021-08-12	2021.612329	2021.612329	2021.612329
NODE_0001326	2021-06-14	2021.450527	2021.408241	2021.525819
EPIISL3274420/AY.122/2021-07-15/EL_ORO	2021-07-15	2021.535616	2021.535616	2021.535616
NODE_0001335	2021-07-15	2021.535611	2021.500218	2021.568493
EPIISL12876876/AY.122/2021-08-05/EL_ORO	2021-08-05	2021.593151	2021.593151	2021.593151
NODE_0000183	2021-07-27	2021.568493	2021.533644	2021.568493
EPIISL4497218/AY.122/2021-07-27/EL_ORO	2021-07-27	2021.568493	2021.568493	2021.568493
EPIISL12876885/AY.122/2021-08-12/EL_ORO	2021-08-12	2021.612329	2021.612329	2021.612329
NODE_0000188	2021-07-20	2021.549291	2021.505586	2021.585354
EPIISL6128367/AY.122/2021-08-26/EL_ORO	2021-08-26	2021.650685	2021.650685	2021.650685
EPIISL6128242/AY.122/2021-08-19/EL_ORO	2021-08-19	2021.631507	2021.631507	2021.631507
NODE_0000157	2021-06-23	2021.475190	2021.411084	2021.523347
EPIISL12876886/AY.122/2021-08-11/EL_ORO	2021-08-11	2021.609589	2021.609589	2021.609589
NODE_0000158	2021-06-29	2021.491702	2021.413289	2021.522192
NODE_0001333	2021-07-19	2021.546575	2021.517327	2021.546575
EPIISL3274510/AY.122/2021-07-19/EL_ORO	2021-07-19	2021.546575	2021.546575	2021.546575
EPIISL6335038/AY.122/2021-08-31/EL_ORO	2021-08-31	2021.664384	2021.664384	2021.664384
NODE_0000160	2021-07-05	2021.508214	2021.477158	2021.532877
EPIISL4497205/AY.122/2021-07-27/EL_ORO	2021-07-27	2021.568493	2021.568493	2021.568493
NODE_0000161	2021-07-09	2021.519082	2021.495921	2021.532877
EPIISL3274437/AY.122/2021-07-19/EL_ORO	2021-07-19	2021.546575	2021.546575	2021.546575
NODE_0000162	2021-07-14	2021.532781	2021.511288	2021.532877
EPIISL3274099/AY.122/2021-07-14/EL_ORO	2021-07-14	2021.532877	2021.532877	2021.532877
NODE_0000164	2021-07-16	2021.538244	2021.523135	2021.546575
EPIISL3274547/AY.122/2021-07-19/EL_ORO	2021-07-19	2021.546575	2021.546575	2021.546575
EPIISL4497090/AY.122/2021-07-27/EL_ORO	2021-07-27	2021.568493	2021.568493	2021.568493
NODE_0001296	2021-05-27	2021.401335	2021.363587	2021.479546
NODE_0000168	2021-06-03	2021.420382	2021.361549	2021.495530
EPIISL6128540/AY.122/2021-08-10/EL_ORO	2021-08-10	2021.606849	2021.606849	2021.606849
NODE_0001298	2021-08-17	2021.625627	2021.588462	2021.645054
EPIISL6128664/AY.122/2021-08-24/MANABI	2021-08-24	2021.645205	2021.645205	2021.645205
EPIISL6128674/AY.122/2021-08-26/MANABI	2021-08-26	2021.650685	2021.650685	2021.650685
NODE_0001299	2021-06-03	2021.420165	2021.385023	2021.485946
EPIISL3274093/AY.122/2021-07-01/AZUAY	2021-07-01	2021.497260	2021.497260	2021.497260
NODE_0001300	2021-06-16	2021.456159	2021.431369	2021.525987
NODE_0000173	2021-06-29	2021.491724	2021.451220	2021.529240
NODE_0001303	2021-07-15	2021.535452	2021.495817	2021.561850
EPIISL12876811/AY.122/2021-08-07/AZUAY	2021-08-07	2021.598630	2021.598630	2021.598630
EPIISL12876932/AY.122/2021-08-01/GUAYAS	2021-08-01	2021.582192	2021.582192	2021.582192
